            count         mean          std     min     25%     50%     75%     max
band-1    21025.0  2957.363472   354.918708  2560.0  2602.0  2780.0  3179.0  4536.0
band-2    21025.0  4091.321237   230.390005  2709.0  3889.0  4106.0  4247.0  5744.0
band-3    21025.0  4277.502259   257.827640  3649.0  4066.0  4237.0  4479.0  6361.0
band-4    21025.0  4169.956671   280.761254  2810.0  3954.0  4126.0  4350.0  6362.0
band-5    21025.0  4516.678668   346.035984  3840.0  4214.0  4478.0  4772.0  7153.0
band-6    21025.0  4790.595149   414.382138  4056.0  4425.0  4754.0  5093.0  7980.0
band-7    21025.0  4848.317574   469.247667  4004.0  4421.0  4808.0  5198.0  8284.0
band-8    21025.0  4714.732509   491.728349  3865.0  4263.0  4666.0  5100.0  8128.0
band-9    21025.0  4668.904828   533.232855  3775.0  4173.0  4632.0  5084.0  8194.0
band-10   21025.0  4439.065541   539.908195  2792.0  3940.0  4404.0  4860.0  7928.0
band-11   21025.0  4407.192580   596.191887  2700.0  3872.0  4362.0  4871.0  7990.0
band-12   21025.0  4307.541831   674.239859  2594.0  3794.0  4294.0  4815.0  7918.0
band-13   21025.0  4148.396671   758.736727  2560.0  3726.0  4200.0  4703.0  7700.0
band-14   21025.0  4400.474625   641.221504  2600.0  3902.0  4352.0  4855.0  7960.0
band-15   21025.0  4470.958811   634.474623  2665.0  3958.0  4399.0  4924.0  7948.0
band-16   21025.0  4447.711106   669.627965  2614.0  3931.0  4373.0  4926.0  7924.0
band-17   21025.0  4286.070059   780.740920  2560.0  3817.0  4263.0  4834.0  7698.0
band-18   21025.0  4070.359239   852.027946  2560.0  3610.0  4100.0  4702.0  7522.0
band-19   21025.0  3967.324899   851.726987  2560.0  3196.0  3978.0  4631.0  7415.0
band-20   21025.0  3861.227491   862.120047  2560.0  3056.0  3863.0  4552.0  7307.0
band-21   21025.0  3833.674863   876.971776  2560.0  2996.0  3820.0  4545.0  7271.0
band-22   21025.0  3810.350773   903.453740  2560.0  2926.0  3783.0  4547.0  7311.0
band-23   21025.0  3742.210131   913.732735  2521.0  2835.0  3702.0  4498.0  7229.0
band-24   21025.0  3657.676243   917.458683  2452.0  2765.0  3616.0  4433.0  7084.0
band-25   21025.0  3651.536837   948.550739  2398.0  2741.0  3605.0  4457.0  7081.0
band-26   21025.0  3562.264067   964.297455  2289.0  2676.0  3243.0  4403.0  7000.0
band-27   21025.0  3453.274340   957.530392  2211.0  2607.0  3129.0  4301.0  6786.0
band-28   21025.0  3489.048133  1019.462914  2178.0  2586.0  3150.0  4395.0  6963.0
band-29   21025.0  3465.970036  1033.900906  2139.0  2561.0  3120.0  4390.0  6903.0
band-30   21025.0  3250.786064   921.367065  2054.0  2453.0  2943.0  4087.0  6317.0
band-31   21025.0  3504.638906   888.806543  2272.0  2695.0  3224.0  4270.0  6366.0
band-32   21025.0  3224.430059   909.962902  2013.0  2435.0  2915.0  4053.0  6722.0
band-33   21025.0  3511.536457   897.964022  2165.0  2699.0  3228.0  4287.0  6897.0
band-34   21025.0  3948.562235   853.073211  2364.0  3159.0  3956.0  4607.0  7182.0
band-35   21025.0  4173.646468   654.626044  2359.0  3844.0  4185.0  4587.0  6941.0
band-36   21025.0  4445.024209   401.402675  2400.0  4217.0  4456.0  4683.0  6729.0
band-37   21025.0  5309.742592   507.061364  2588.0  5021.0  5315.0  5600.0  7591.0
band-38   21025.0  5950.961427   720.970575  2723.0  5499.0  5877.0  6387.0  8611.0
band-39   21025.0  5937.520761   807.181782  2675.0  5416.0  5812.0  6432.0  9604.0
band-40   21025.0  4137.620214   644.574920  2127.0  3834.0  4096.0  4525.0  6119.0
band-41   21025.0  6093.512485   884.465154  2672.0  5520.0  5933.0  6636.0  9219.0
band-42   21025.0  6213.161617   907.543339  2878.0  5621.0  6050.0  6770.0  9360.0
band-43   21025.0  5954.216124   854.120631  2723.0  5394.0  5807.0  6477.0  8963.0
band-44   21025.0  5888.866159   838.244541  2676.0  5336.0  5741.0  6406.0  8817.0
band-45   21025.0  5472.718098   761.311135  2576.0  4980.0  5352.0  5937.0  8232.0
band-46   21025.0  5015.582592   685.099855  2461.0  4575.0  4910.0  5427.0  7417.0
band-47   21025.0  5320.303781   724.948237  2568.0  4846.0  5216.0  5764.0  7874.0
band-48   21025.0  5747.777408   789.182366  2674.0  5228.0  5627.0  6232.0  8576.0
band-49   21025.0  5670.194578   776.836751  2597.0  5158.0  5550.0  6142.0  8359.0
band-50   21025.0  5679.593864   772.591938  2572.0  5170.0  5562.0  6153.0  8451.0
band-51   21025.0  5610.726040   757.294325  2590.0  5114.0  5502.0  6077.0  8275.0
band-52   21025.0  5643.016552   755.242208  2560.0  5146.0  5535.0  6105.0  8355.0
band-53   21025.0  5530.715862   728.541854  2484.0  5054.0  5432.0  5977.0  8153.0
band-54   21025.0  4549.849988   606.091107  2157.0  4196.0  4490.0  4912.0  6590.0
band-55   21025.0  4333.393960   591.085100  2084.0  4021.0  4297.0  4685.0  6256.0
band-56   21025.0  4228.815458   580.213737  2038.0  3936.0  4205.0  4576.0  6065.0
band-57   21025.0  3666.591153   608.149059  1898.0  3185.0  3766.0  4075.0  5355.0
band-58   21025.0  2324.138074   180.354802  1419.0  2206.0  2306.0  2437.0  2969.0
band-59   21025.0  2476.998526   195.547303  1458.0  2349.0  2460.0  2601.0  3160.0
band-60   21025.0  2703.668680   212.911665  1540.0  2569.0  2689.0  2844.0  3327.0
band-61   21025.0  3207.183496   489.423492  1715.0  2726.0  3189.0  3673.0  4613.0
band-62   21025.0  3998.361427   485.325414  1860.0  3809.0  4029.0  4299.0  5425.0
band-63   21025.0  4511.952675   481.896912  2004.0  4251.0  4501.0  4816.0  6155.0
band-64   21025.0  4805.783401   494.908795  2044.0  4511.0  4778.0  5128.0  6619.0
band-65   21025.0  4710.512485   501.784545  2019.0  4420.0  4686.0  5033.0  6488.0
band-66   21025.0  4733.814078   508.697566  2032.0  4434.0  4701.0  5060.0  6543.0
band-67   21025.0  4678.145208   517.329033  2028.0  4379.0  4644.0  5008.0  6499.0
band-68   21025.0  4660.013888   526.359755  2017.0  4357.0  4623.0  4991.0  6517.0
